ARQUIVO;COMPETENCIA_PASTA;EH_MOVIMENTACAO;TEM_SALARIO;QTD_COLS_REAIS;QTD_COLS_VIRTUAIS;STATUS;COLUNAS_REAIS;COLUNAS_VIRTUAIS
s3://bronze/caged_old/ano_hive=2007/mes_hive=01/caged_old_200701.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2007/mes_hive=02/caged_old_200702.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2007/mes_hive=03/caged_old_200703.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2007/mes_hive=04/caged_old_200704.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2007/mes_hive=05/caged_old_200705.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2007/mes_hive=06/caged_old_200706.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2007/mes_hive=07/caged_old_200707.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2007/mes_hive=08/caged_old_200708.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2007/mes_hive=09/caged_old_200709.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2007/mes_hive=10/caged_old_200710.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
